nodo_1, nodo_2, distancia_minima
0, 0, 0
0, 1, 3.21545
0, 2, INF
0, 3, INF
0, 4, INF
0, 5, INF
0, 6, INF
0, 7, INF
0, 8, INF
0, 9, INF
0, 10, INF
0, 11, INF
0, 12, INF
0, 13, INF
0, 14, INF
0, 15, INF
0, 16, INF
0, 17, INF
0, 18, INF
0, 19, INF
0, 20, INF
0, 21, INF
0, 22, INF
0, 23, INF
0, 24, INF
0, 25, INF
0, 26, INF
0, 27, INF
0, 28, INF
0, 29, INF
0, 30, INF
0, 31, INF
0, 32, INF
0, 33, INF
0, 34, INF
0, 35, INF
0, 36, INF
0, 37, INF
0, 38, INF
0, 39, INF
0, 40, INF
0, 41, INF
0, 42, INF
0, 43, INF
0, 44, INF
0, 45, INF
0, 46, INF
0, 47, INF
0, 48, INF
0, 49, INF
0, 50, INF
0, 51, INF
0, 52, INF
0, 53, INF
0, 54, INF
0, 55, INF
0, 56, INF
0, 57, INF
0, 58, INF
0, 59, INF
0, 60, INF
0, 61, INF
0, 62, INF
0, 63, INF
0, 64, INF
0, 65, INF
0, 66, INF
0, 67, INF
0, 68, INF
0, 69, INF
0, 70, INF
0, 71, INF
0, 72, INF
0, 73, INF
0, 74, INF
0, 75, INF
0, 76, INF
0, 77, INF
0, 78, INF
0, 79, INF
0, 80, INF
0, 81, INF
0, 82, INF
0, 83, INF
0, 84, INF
0, 85, INF
0, 86, INF
0, 87, INF
0, 88, INF
0, 89, INF
0, 90, INF
0, 91, INF
0, 92, INF
0, 93, INF
0, 94, INF
0, 95, INF
0, 96, INF
0, 97, INF
0, 98, INF
0, 99, INF
0, 100, INF
0, 101, INF
0, 102, INF
0, 103, INF
0, 104, INF
0, 105, INF
0, 106, INF
0, 107, INF
0, 108, INF
0, 109, INF
0, 110, INF
0, 111, INF
0, 112, INF
0, 113, INF
0, 114, INF
0, 115, INF
0, 116, INF
0, 117, INF
0, 118, INF
0, 119, INF
0, 120, INF
0, 121, INF
0, 122, INF
0, 123, INF
0, 124, INF
0, 125, INF
0, 126, INF
0, 127, INF
0, 128, INF
0, 129, INF
0, 130, INF
0, 131, INF
0, 132, INF
0, 133, INF
0, 134, INF
0, 135, INF
0, 136, INF
0, 137, INF
0, 138, INF
0, 139, INF
0, 140, INF
0, 141, INF
0, 142, INF
0, 143, INF
0, 144, INF
0, 145, INF
0, 146, INF
0, 147, INF
0, 148, INF
0, 149, INF
0, 150, INF
0, 151, INF
0, 152, INF
0, 153, INF
0, 154, INF
0, 155, INF
0, 156, INF
0, 157, INF
0, 158, INF
0, 159, INF
0, 160, INF
0, 161, INF
0, 162, INF
0, 163, INF
0, 164, INF
0, 165, INF
0, 166, INF
0, 167, INF
0, 168, INF
0, 169, INF
0, 170, INF
0, 171, INF
0, 172, INF
0, 173, INF
0, 174, INF
0, 175, INF
0, 176, INF
0, 177, INF
0, 178, INF
0, 179, INF
0, 180, INF
0, 181, INF
0, 182, INF
0, 183, INF
0, 184, INF
0, 185, INF
0, 186, INF
0, 187, INF
0, 188, INF
0, 189, INF
0, 190, INF
0, 191, INF
0, 192, INF
0, 193, INF
0, 194, INF
0, 195, INF
0, 196, INF
0, 197, INF
0, 198, INF
0, 199, INF
0, 200, INF
0, 201, INF
0, 202, INF
0, 203, INF
0, 204, INF
0, 205, INF
0, 206, INF
0, 207, INF
0, 208, INF
0, 209, INF
0, 210, INF
0, 211, INF
0, 212, INF
0, 213, INF
0, 214, INF
0, 215, INF
0, 216, INF
0, 217, INF
0, 218, INF
0, 219, INF
0, 220, INF
0, 221, INF
0, 222, INF
0, 223, INF
0, 224, INF
0, 225, INF
0, 226, INF
0, 227, INF
0, 228, INF
0, 229, INF
0, 230, INF
0, 231, INF
0, 232, INF
0, 233, INF
0, 234, INF
0, 235, INF
0, 236, INF
0, 237, INF
0, 238, INF
0, 239, INF
0, 240, INF
0, 241, INF
0, 242, INF
0, 243, INF
0, 244, INF
0, 245, INF
0, 246, INF
0, 247, INF
0, 248, INF
0, 249, INF
0, 250, INF
0, 251, INF
0, 252, INF
0, 253, INF
0, 254, INF
0, 255, INF
0, 256, INF
0, 257, INF
0, 258, INF
0, 259, INF
0, 260, INF
0, 261, INF
0, 262, INF
0, 263, INF
0, 264, INF
0, 265, INF
0, 266, INF
0, 267, INF
0, 268, INF
0, 269, INF
0, 270, INF
0, 271, INF
0, 272, INF
0, 273, INF
0, 274, INF
0, 275, INF
0, 276, INF
0, 277, INF
0, 278, INF
0, 279, INF
0, 280, INF
0, 281, INF
0, 282, INF
0, 283, INF
0, 284, INF
0, 285, INF
0, 286, INF
0, 287, INF
0, 288, INF
0, 289, INF
0, 290, INF
0, 291, INF
0, 292, INF
0, 293, INF
0, 294, INF
0, 295, INF
0, 296, INF
0, 297, INF
0, 298, INF
0, 299, INF
0, 300, INF
0, 301, INF
0, 302, INF
0, 303, INF
0, 304, INF
0, 305, INF
0, 306, INF
0, 307, INF
0, 308, INF
0, 309, INF
0, 310, INF
0, 311, INF
0, 312, INF
0, 313, INF
0, 314, INF
0, 315, INF
0, 316, INF
0, 317, INF
0, 318, INF
0, 319, INF
0, 320, INF
0, 321, INF
0, 322, INF
0, 323, INF
0, 324, INF
0, 325, INF
0, 326, INF
0, 327, INF
0, 328, INF
0, 329, INF
0, 330, INF
0, 331, INF
0, 332, INF
0, 333, INF
0, 334, INF
0, 335, INF
0, 336, INF
0, 337, INF
0, 338, INF
0, 339, INF
0, 340, INF
0, 341, INF
0, 342, INF
0, 343, INF
0, 344, INF
0, 345, INF
0, 346, INF
0, 347, INF
0, 348, INF
0, 349, INF
0, 350, INF
0, 351, INF
0, 352, INF
0, 353, INF
0, 354, INF
0, 355, INF
0, 356, INF
0, 357, INF
0, 358, INF
0, 359, INF
0, 360, INF
0, 361, INF
0, 362, INF
0, 363, INF
0, 364, INF
0, 365, INF
0, 366, INF
0, 367, INF
0, 368, INF
0, 369, INF
0, 370, INF
0, 371, INF
0, 372, INF
0, 373, INF
0, 374, INF
0, 375, INF
0, 376, INF
0, 377, INF
0, 378, INF
0, 379, INF
0, 380, INF
0, 381, INF
0, 382, INF
0, 383, INF
0, 384, INF
0, 385, INF
0, 386, INF
0, 387, INF
0, 388, INF
0, 389, INF
0, 390, INF
0, 391, INF
0, 392, INF
0, 393, INF
0, 394, INF
0, 395, INF
0, 396, INF
0, 397, INF
0, 398, INF
0, 399, INF
0, 400, INF
0, 401, INF
0, 402, INF
0, 403, INF
0, 404, INF
0, 405, INF
0, 406, INF
0, 407, INF
0, 408, INF
0, 409, INF
0, 410, INF
0, 411, INF
0, 412, INF
0, 413, INF
0, 414, INF
0, 415, INF
0, 416, INF
0, 417, INF
0, 418, INF
0, 419, INF
0, 420, INF
0, 421, INF
0, 422, INF
0, 423, INF
0, 424, INF
0, 425, INF
0, 426, INF
0, 427, INF
0, 428, INF
0, 429, INF
0, 430, INF
0, 431, INF
0, 432, INF
0, 433, INF
0, 434, INF
0, 435, INF
0, 436, INF
0, 437, INF
0, 438, INF
0, 439, INF
0, 440, INF
0, 441, INF
0, 442, INF
0, 443, INF
0, 444, INF
0, 445, INF
0, 446, INF
0, 447, INF
0, 448, INF
0, 449, INF
0, 450, INF
0, 451, INF
0, 452, INF
0, 453, INF
0, 454, INF
0, 455, INF
0, 456, INF
0, 457, INF
0, 458, INF
0, 459, INF
0, 460, INF
0, 461, INF
0, 462, INF
0, 463, INF
0, 464, INF
0, 465, INF
0, 466, INF
0, 467, INF
0, 468, INF
0, 469, INF
0, 470, INF
0, 471, INF
0, 472, INF
0, 473, INF
0, 474, INF
0, 475, INF
0, 476, INF
0, 477, INF
0, 478, INF
0, 479, INF
0, 480, INF
0, 481, INF
0, 482, INF
0, 483, INF
0, 484, INF
0, 485, INF
0, 486, INF
0, 487, INF
0, 488, INF
0, 489, INF
0, 490, INF
0, 491, INF
0, 492, INF
0, 493, INF
0, 494, INF
0, 495, INF
0, 496, INF
0, 497, INF
0, 498, 6.55183
0, 499, INF
0, 500, INF
0, 501, INF
0, 502, INF
0, 503, INF
0, 504, INF
0, 505, INF
0, 506, INF
0, 507, INF
0, 508, INF
0, 509, INF
0, 510, INF
0, 511, INF
0, 512, INF
0, 513, INF
0, 514, INF
0, 515, INF
0, 516, INF
0, 517, INF
0, 518, INF
0, 519, INF
0, 520, INF
0, 521, INF
0, 522, INF
0, 523, INF
0, 524, INF
0, 525, INF
0, 526, INF
0, 527, INF
0, 528, INF
0, 529, INF
0, 530, INF
0, 531, INF
0, 532, INF
0, 533, INF
0, 534, INF
0, 535, INF
0, 536, INF
0, 537, INF
0, 538, INF
0, 539, INF
0, 540, INF
0, 541, INF
0, 542, INF
0, 543, INF
0, 544, INF
0, 545, INF
0, 546, INF
0, 547, INF
0, 548, INF
0, 549, INF
0, 550, INF
0, 551, INF
0, 552, INF
0, 553, INF
0, 554, INF
0, 555, INF
0, 556, INF
0, 557, INF
0, 558, INF
0, 559, INF
0, 560, INF
0, 561, INF
0, 562, INF
0, 563, INF
0, 564, INF
0, 565, INF
0, 566, INF
0, 567, INF
0, 568, INF
0, 569, INF
0, 570, INF
0, 571, INF
0, 572, INF
0, 573, INF
0, 574, INF
0, 575, INF
0, 576, INF
0, 577, INF
0, 578, INF
0, 579, INF
0, 580, INF
0, 581, INF
0, 582, INF
0, 583, INF
0, 584, INF
0, 585, INF
0, 586, INF
0, 587, INF
0, 588, INF
0, 589, INF
0, 590, INF
0, 591, INF
0, 592, INF
0, 593, INF
0, 594, INF
0, 595, INF
0, 596, INF
0, 597, INF
0, 598, 9.74591
0, 599, INF
0, 600, INF
0, 601, INF
0, 602, INF
0, 603, INF
0, 604, INF
0, 605, INF
0, 606, INF
0, 607, INF
0, 608, INF
0, 609, INF
0, 610, INF
0, 611, INF
0, 612, INF
0, 613, INF
0, 614, INF
0, 615, INF
0, 616, INF
0, 617, INF
0, 618, INF
0, 619, INF
0, 620, INF
0, 621, INF
0, 622, INF
0, 623, INF
0, 624, INF
0, 625, INF
0, 626, INF
0, 627, INF
0, 628, INF
0, 629, INF
0, 630, INF
0, 631, INF
0, 632, INF
0, 633, INF
0, 634, INF
0, 635, INF
1, 1, 0
1, 2, INF
1, 3, INF
1, 4, INF
1, 5, INF
1, 6, INF
1, 7, INF
1, 8, INF
1, 9, INF
1, 10, INF
1, 11, INF
1, 12, INF
1, 13, INF
1, 14, INF
1, 15, INF
1, 16, INF
1, 17, INF
1, 18, INF
1, 19, INF
1, 20, INF
1, 21, INF
1, 22, INF
1, 23, INF
1, 24, INF
1, 25, INF
1, 26, INF
1, 27, INF
1, 28, INF
1, 29, INF
1, 30, INF
1, 31, INF
1, 32, INF
1, 33, INF
1, 34, INF
1, 35, INF
1, 36, INF
1, 37, INF
1, 38, INF
1, 39, INF
1, 40, INF
1, 41, INF
1, 42, INF
1, 43, INF
1, 44, INF
1, 45, INF
1, 46, INF
1, 47, INF
1, 48, INF
1, 49, INF
1, 50, INF
1, 51, INF
1, 52, INF
1, 53, INF
1, 54, INF
1, 55, INF
1, 56, INF
1, 57, INF
1, 58, INF
1, 59, INF
1, 60, INF
1, 61, INF
1, 62, INF
1, 63, INF
1, 64, INF
1, 65, INF
1, 66, INF
1, 67, INF
1, 68, INF
1, 69, INF
1, 70, INF
1, 71, INF
1, 72, INF
1, 73, INF
1, 74, INF
1, 75, INF
1, 76, INF
1, 77, INF
1, 78, INF
1, 79, INF
1, 80, INF
1, 81, INF
1, 82, INF
1, 83, INF
1, 84, INF
1, 85, INF
1, 86, INF
1, 87, INF
1, 88, INF
1, 89, INF
1, 90, INF
1, 91, INF
1, 92, INF
1, 93, INF
1, 94, INF
1, 95, INF
1, 96, INF
1, 97, INF
1, 98, INF
1, 99, INF
1, 100, INF
1, 101, INF
1, 102, INF
1, 103, INF
1, 104, INF
1, 105, INF
1, 106, INF
1, 107, INF
1, 108, INF
1, 109, INF
1, 110, INF
1, 111, INF
1, 112, INF
1, 113, INF
1, 114, INF
1, 115, INF
1, 116, INF
1, 117, INF
1, 118, INF
1, 119, INF
1, 120, INF
1, 121, INF
1, 122, INF
1, 123, INF
1, 124, INF
1, 125, INF
1, 126, INF
1, 127, INF
1, 128, INF
1, 129, INF
1, 130, INF
1, 131, INF
1, 132, INF
1, 133, INF
1, 134, INF
1, 135, INF
1, 136, INF
1, 137, INF
1, 138, INF
1, 139, INF
1, 140, INF
1, 141, INF
1, 142, INF
1, 143, INF
1, 144, INF
1, 145, INF
1, 146, INF
1, 147, INF
1, 148, INF
1, 149, INF
1, 150, INF
1, 151, INF
1, 152, INF
1, 153, INF
1, 154, INF
1, 155, INF
1, 156, INF
1, 157, INF
1, 158, INF
1, 159, INF
1, 160, INF
1, 161, INF
1, 162, INF
1, 163, INF
1, 164, INF
1, 165, INF
1, 166, INF
1, 167, INF
1, 168, INF
1, 169, INF
1, 170, INF
1, 171, INF
1, 172, INF
1, 173, INF
1, 174, INF
1, 175, INF
1, 176, INF
1, 177, INF
1, 178, INF
1, 179, INF
1, 180, INF
1, 181, INF
1, 182, INF
1, 183, INF
1, 184, INF
1, 185, INF
1, 186, INF
1, 187, INF
1, 188, INF
1, 189, INF
1, 190, INF
1, 191, INF
1, 192, INF
1, 193, INF
1, 194, INF
1, 195, INF
1, 196, INF
1, 197, INF
1, 198, INF
1, 199, INF
1, 200, INF
1, 201, INF
1, 202, INF
1, 203, INF
1, 204, INF
1, 205, INF
1, 206, INF
1, 207, INF
1, 208, INF
1, 209, INF
1, 210, INF
1, 211, INF
1, 212, INF
1, 213, INF
1, 214, INF
1, 215, INF
1, 216, INF
1, 217, INF
1, 218, INF
1, 219, INF
1, 220, INF
1, 221, INF
1, 222, INF
1, 223, INF
1, 224, INF
1, 225, INF
1, 226, INF
1, 227, INF
1, 228, INF
1, 229, INF
1, 230, INF
1, 231, INF
1, 232, INF
1, 233, INF
1, 234, INF
1, 235, INF
1, 236, INF
1, 237, INF
1, 238, INF
1, 239, INF
1, 240, INF
1, 241, INF
1, 242, INF
1, 243, INF
1, 244, INF
1, 245, INF
1, 246, INF
1, 247, INF
1, 248, INF
1, 249, INF
1, 250, INF
1, 251, INF
1, 252, INF
1, 253, INF
1, 254, INF
1, 255, INF
1, 256, INF
1, 257, INF
1, 258, INF
1, 259, INF
1, 260, INF
1, 261, INF
1, 262, INF
1, 263, INF
1, 264, INF
1, 265, INF
1, 266, INF
1, 267, INF
1, 268, INF
1, 269, INF
1, 270, INF
1, 271, INF
1, 272, INF
1, 273, INF
1, 274, INF
1, 275, INF
1, 276, INF
1, 277, INF
1, 278, INF
1, 279, INF
1, 280, INF
1, 281, INF
1, 282, INF
1, 283, INF
1, 284, INF
1, 285, INF
1, 286, INF
1, 287, INF
1, 288, INF
1, 289, INF
1, 290, INF
1, 291, INF
1, 292, INF
1, 293, INF
1, 294, INF
1, 295, INF
1, 296, INF
1, 297, INF
1, 298, INF
1, 299, INF
1, 300, INF
1, 301, INF
1, 302, INF
1, 303, INF
1, 304, INF
1, 305, INF
1, 306, INF
1, 307, INF
1, 308, INF
1, 309, INF
1, 310, INF
1, 311, INF
1, 312, INF
1, 313, INF
1, 314, INF
1, 315, INF
1, 316, INF
1, 317, INF
1, 318, INF
1, 319, INF
1, 320, INF
1, 321, INF
1, 322, INF
1, 323, INF
1, 324, INF
1, 325, INF
1, 326, INF
1, 327, INF
1, 328, INF
1, 329, INF
1, 330, INF
1, 331, INF
1, 332, INF
1, 333, INF
1, 334, INF
1, 335, INF
1, 336, INF
1, 337, INF
1, 338, INF
1, 339, INF
1, 340, INF
1, 341, INF
1, 342, INF
1, 343, INF
1, 344, INF
1, 345, INF
1, 346, INF
1, 347, INF
1, 348, INF
1, 349, INF
1, 350, INF
1, 351, INF
1, 352, INF
1, 353, INF
1, 354, INF
1, 355, INF
1, 356, INF
1, 357, INF
1, 358, INF
1, 359, INF
1, 360, INF
1, 361, INF
1, 362, INF
1, 363, INF
1, 364, INF
1, 365, INF
1, 366, INF
1, 367, INF
1, 368, INF
1, 369, INF
1, 370, INF
1, 371, INF
1, 372, INF
1, 373, INF
1, 374, INF
1, 375, INF
1, 376, INF
1, 377, INF
1, 378, INF
1, 379, INF
1, 380, INF
1, 381, INF
1, 382, INF
1, 383, INF
1, 384, INF
1, 385, INF
1, 386, INF
1, 387, INF
1, 388, INF
1, 389, INF
1, 390, INF
1, 391, INF
1, 392, INF
1, 393, INF
1, 394, INF
1, 395, INF
1, 396, INF
1, 397, INF
1, 398, INF
1, 399, INF
1, 400, INF
1, 401, INF
1, 402, INF
1, 403, INF
1, 404, INF
1, 405, INF
1, 406, INF
1, 407, INF
1, 408, INF
1, 409, INF
1, 410, INF
1, 411, INF
1, 412, INF
1, 413, INF
1, 414, INF
1, 415, INF
1, 416, INF
1, 417, INF
1, 418, INF
1, 419, INF
1, 420, INF
1, 421, INF
1, 422, INF
1, 423, INF
1, 424, INF
1, 425, INF
1, 426, INF
1, 427, INF
1, 428, INF
1, 429, INF
1, 430, INF
1, 431, INF
1, 432, INF
1, 433, INF
1, 434, INF
1, 435, INF
1, 436, INF
1, 437, INF
1, 438, INF
1, 439, INF
1, 440, INF
1, 441, INF
1, 442, INF
1, 443, INF
1, 444, INF
1, 445, INF
1, 446, INF
1, 447, INF
1, 448, INF
1, 449, INF
1, 450, INF
1, 451, INF
1, 452, INF
1, 453, INF
1, 454, INF
1, 455, INF
1, 456, INF
1, 457, INF
1, 458, INF
1, 459, INF
1, 460, INF
1, 461, INF
1, 462, INF
1, 463, INF
1, 464, INF
1, 465, INF
1, 466, INF
1, 467, INF
1, 468, INF
1, 469, INF
1, 470, INF
1, 471, INF
1, 472, INF
1, 473, INF
1, 474, INF
1, 475, INF
1, 476, INF
1, 477, INF
1, 478, INF
1, 479, INF
1, 480, INF
1, 481, INF
1, 482, INF
1, 483, INF
1, 484, INF
1, 485, INF
1, 486, INF
1, 487, INF
1, 488, INF
1, 489, INF
1, 490, INF
1, 491, INF
1, 492, INF
1, 493, INF
1, 494, INF
1, 495, INF
1, 496, INF
1, 497, INF
1, 498, 3.33638
1, 499, INF
1, 500, INF
1, 501, INF
1, 502, INF
1, 503, INF
1, 504, INF
1, 505, INF
1, 506, INF
1, 507, INF
1, 508, INF
1, 509, INF
1, 510, INF
1, 511, INF
1, 512, INF
1, 513, INF
1, 514, INF
1, 515, INF
1, 516, INF
1, 517, INF
1, 518, INF
1, 519, INF
1, 520, INF
1, 521, INF
1, 522, INF
1, 523, INF
1, 524, INF
1, 525, INF
1, 526, INF
1, 527, INF
1, 528, INF
1, 529, INF
1, 530, INF
1, 531, INF
1, 532, INF
1, 533, INF
1, 534, INF
1, 535, INF
1, 536, INF
1, 537, INF
1, 538, INF
1, 539, INF
1, 540, INF
1, 541, INF
1, 542, INF
1, 543, INF
1, 544, INF
1, 545, INF
1, 546, INF
1, 547, INF
1, 548, INF
1, 549, INF
1, 550, INF
1, 551, INF
1, 552, INF
1, 553, INF
1, 554, INF
1, 555, INF
1, 556, INF
1, 557, INF
1, 558, INF
1, 559, INF
1, 560, INF
1, 561, INF
1, 562, INF
1, 563, INF
1, 564, INF
1, 565, INF
1, 566, INF
1, 567, INF
1, 568, INF
1, 569, INF
1, 570, INF
1, 571, INF
1, 572, INF
1, 573, INF
1, 574, INF
1, 575, INF
1, 576, INF
1, 577, INF
1, 578, INF
1, 579, INF
1, 580, INF
1, 581, INF
1, 582, INF
1, 583, INF
1, 584, INF
1, 585, INF
1, 586, INF
1, 587, INF
1, 588, INF
1, 589, INF
1, 590, INF
1, 591, INF
1, 592, INF
1, 593, INF
1, 594, INF
1, 595, INF
1, 596, INF
1, 597, INF
1, 598, 6.53046
1, 599, INF
1, 600, INF
1, 601, INF
1, 602, INF
1, 603, INF
1, 604, INF
1, 605, INF
1, 606, INF
1, 607, INF
1, 608, INF
1, 609, INF
1, 610, INF
1, 611, INF
1, 612, INF
1, 613, INF
1, 614, INF
1, 615, INF
1, 616, INF
1, 617, INF
1, 618, INF
1, 619, INF
1, 620, INF
1, 621, INF
1, 622, INF
1, 623, INF
1, 624, INF
1, 625, INF
1, 626, INF
1, 627, INF
1, 628, INF
1, 629, INF
1, 630, INF
1, 631, INF
1, 632, INF
1, 633, INF
1, 634, INF
1, 635, INF
2, 2, 0
2, 3, 3.26406
2, 4, INF
2, 5, INF
2, 6, INF
2, 7, INF
2, 8, INF
2, 9, INF
2, 10, INF
2, 11, INF
2, 12, INF
2, 13, INF
2, 14, INF
2, 15, INF
2, 16, INF
2, 17, INF
2, 18, INF
2, 19, INF
2, 20, INF
2, 21, INF
2, 22, INF
2, 23, INF
2, 24, INF
2, 25, INF
2, 26, INF
2, 27, INF
2, 28, INF
2, 29, INF
2, 30, INF
2, 31, INF
2, 32, INF
2, 33, INF
2, 34, INF
2, 35, INF
2, 36, INF
2, 37, INF
2, 38, INF
2, 39, INF
2, 40, INF
2, 41, INF
2, 42, INF
2, 43, INF
2, 44, INF
2, 45, INF
2, 46, INF
2, 47, INF
2, 48, INF
2, 49, INF
2, 50, INF
2, 51, INF
2, 52, INF
2, 53, INF
2, 54, INF
2, 55, INF
2, 56, INF
2, 57, INF
2, 58, INF
2, 59, INF
2, 60, INF
2, 61, INF
2, 62, INF
2, 63, INF
2, 64, INF
2, 65, INF
2, 66, INF
2, 67, INF
2, 68, INF
2, 69, INF
2, 70, INF
2, 71, INF
2, 72, INF
2, 73, INF
2, 74, INF
2, 75, INF
2, 76, INF
2, 77, INF
2, 78, INF
2, 79, INF
2, 80, INF
2, 81, INF
2, 82, INF
2, 83, INF
2, 84, INF
2, 85, INF
2, 86, INF
2, 87, INF
2, 88, INF
2, 89, INF
2, 90, INF
2, 91, INF
2, 92, INF
2, 93, INF
2, 94, INF
2, 95, INF
2, 96, INF
2, 97, INF
2, 98, INF
2, 99, INF
2, 100, INF
2, 101, INF
2, 102, INF
2, 103, INF
2, 104, INF
2, 105, INF
2, 106, INF
2, 107, INF
2, 108, INF
2, 109, INF
2, 110, INF
2, 111, INF
2, 112, INF
2, 113, INF
2, 114, INF
2, 115, INF
2, 116, INF
2, 117, INF
2, 118, INF
2, 119, INF
2, 120, INF
2, 121, INF
2, 122, INF
2, 123, INF
2, 124, INF
2, 125, INF
2, 126, INF
2, 127, INF
2, 128, INF
2, 129, INF
2, 130, INF
2, 131, INF
2, 132, INF
2, 133, INF
2, 134, INF
2, 135, INF
2, 136, INF
2, 137, INF
2, 138, INF
2, 139, INF
2, 140, INF
2, 141, INF
2, 142, INF
2, 143, INF
2, 144, INF
2, 145, INF
2, 146, INF
2, 147, INF
2, 148, INF
2, 149, INF
2, 150, INF
2, 151, INF
2, 152, INF
2, 153, INF
2, 154, INF
2, 155, INF
2, 156, INF
2, 157, INF
2, 158, INF
2, 159, INF
2, 160, INF
2, 161, INF
2, 162, INF
2, 163, INF
2, 164, INF
2, 165, INF
2, 166, INF
2, 167, INF
2, 168, INF
2, 169, INF
2, 170, INF
2, 171, INF
2, 172, INF
2, 173, INF
2, 174, INF
2, 175, INF
2, 176, INF
2, 177, INF
2, 178, INF
2, 179, INF
2, 180, INF
2, 181, INF
2, 182, INF
2, 183, INF
2, 184, INF
2, 185, INF
2, 186, INF
2, 187, INF
2, 188, INF
2, 189, INF
2, 190, INF
2, 191, INF
2, 192, INF
2, 193, INF
2, 194, INF
2, 195, INF
2, 196, INF
2, 197, INF
2, 198, INF
2, 199, INF
2, 200, INF
2, 201, INF
2, 202, INF
2, 203, INF
2, 204, INF
2, 205, INF
2, 206, INF
2, 207, INF
2, 208, INF
2, 209, INF
2, 210, INF
2, 211, INF
2, 212, INF
2, 213, INF
2, 214, INF
2, 215, INF
2, 216, INF
2, 217, INF
2, 218, INF
2, 219, INF
2, 220, INF
2, 221, INF
2, 222, INF
2, 223, INF
2, 224, INF
2, 225, INF
2, 226, INF
2, 227, INF
2, 228, INF
2, 229, INF
2, 230, INF
2, 231, INF
2, 232, INF
2, 233, INF
2, 234, INF
2, 235, INF
2, 236, INF
2, 237, INF
2, 238, INF
2, 239, INF
2, 240, INF
2, 241, INF
2, 242, INF
2, 243, INF
2, 244, INF
2, 245, INF
2, 246, INF
2, 247, INF
2, 248, INF
2, 249, INF
2, 250, INF
2, 251, INF
2, 252, INF
2, 253, INF
2, 254, INF
2, 255, INF
2, 256, INF
2, 257, INF
2, 258, INF
2, 259, INF
2, 260, INF
2, 261, INF
2, 262, INF
2, 263, INF
2, 264, INF
2, 265, INF
2, 266, INF
2, 267, INF
2, 268, INF
2, 269, INF
2, 270, INF
2, 271, INF
2, 272, INF
2, 273, INF
2, 274, INF
2, 275, INF
2, 276, INF
2, 277, INF
2, 278, INF
2, 279, INF
2, 280, INF
2, 281, INF
2, 282, INF
2, 283, INF
2, 284, INF
2, 285, INF
2, 286, INF
2, 287, INF
2, 288, INF
2, 289, INF
2, 290, INF
2, 291, INF
2, 292, INF
2, 293, INF
2, 294, INF
2, 295, INF
2, 296, INF
2, 297, INF
2, 298, INF
2, 299, INF
2, 300, INF
2, 301, INF
2, 302, INF
2, 303, INF
2, 304, INF
2, 305, INF
2, 306, INF
2, 307, INF
2, 308, INF
2, 309, INF
2, 310, INF
2, 311, INF
2, 312, INF
2, 313, INF
2, 314, INF
2, 315, INF
2, 316, INF
2, 317, INF
2, 318, INF
2, 319, INF
2, 320, INF
2, 321, INF
2, 322, INF
2, 323, INF
2, 324, INF
2, 325, INF
2, 326, INF
2, 327, INF
2, 328, INF
2, 329, INF
2, 330, INF
2, 331, INF
2, 332, INF
2, 333, INF
2, 334, INF
2, 335, INF
2, 336, INF
2, 337, INF
2, 338, INF
2, 339, INF
2, 340, INF
2, 341, INF
2, 342, INF
2, 343, INF
2, 344, INF
2, 345, INF
2, 346, INF
2, 347, INF
2, 348, INF
