algoritmo,tipo_grafo,distribucion,n,m,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
Bellman-Ford,Árbol Binario,Decimal,100,99,0.0287619,0.0108528,0.026219,0.0264,0.0265855,0.0267382,0.087946
Bellman-Ford,Árbol Binario,Decimal,200,199,0.178117,0.0137731,0.168518,0.173257,0.174435,0.176026,0.246456
Bellman-Ford,Árbol Binario,Decimal,300,299,0.458746,0.0115743,0.448198,0.452643,0.456293,0.460218,0.514633
Bellman-Ford,Árbol Binario,Decimal,400,399,0.845703,0.0434648,0.820351,0.829519,0.83285,0.837296,1.03763
Bellman-Ford,Árbol Binario,Decimal,500,499,0.514276,0.14123,0.481981,0.484954,0.488759,0.490823,1.28743
Bellman-Ford,Árbol Binario,Decimal,600,599,1.07728,0.0412984,1.05134,1.05907,1.0689,1.07643,1.25427
Bellman-Ford,Árbol Binario,Decimal,700,699,1.84138,0.129495,1.76933,1.77912,1.78613,1.83746,2.38656
Bellman-Ford,Árbol Binario,Decimal,800,799,2.75915,0.143229,2.64286,2.65981,2.68972,2.8345,3.16403
Bellman-Ford,Árbol Binario,Decimal,900,899,3.88975,0.268058,3.60427,3.69482,3.8413,3.98668,4.70204
Bellman-Ford,Árbol Binario,Decimal,1000,999,5.21832,0.297334,4.81723,4.95357,5.19642,5.42043,5.81287
