algoritmo,tipo_grafo,distribucion,n,m,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
Bellman-Ford,Árbol Binario,Entera,100,99,0.0283238,0.0102071,0.025949,0.0262317,0.0263345,0.0264803,0.084089
Bellman-Ford,Árbol Binario,Entera,200,199,0.180322,0.0130439,0.168879,0.173305,0.175457,0.179376,0.228533
Bellman-Ford,Árbol Binario,Entera,300,299,0.472191,0.0361735,0.453707,0.458056,0.461287,0.467526,0.648837
Bellman-Ford,Árbol Binario,Entera,400,399,0.854759,0.0503773,0.826422,0.832838,0.838901,0.849706,1.067
Bellman-Ford,Árbol Binario,Entera,500,499,0.516708,0.142303,0.483424,0.487497,0.490823,0.494199,1.29594
Bellman-Ford,Árbol Binario,Entera,600,599,1.08834,0.0865917,1.04836,1.05732,1.0621,1.07674,1.52019
Bellman-Ford,Árbol Binario,Entera,700,699,1.7961,0.0575057,1.74273,1.75759,1.77871,1.80381,2.01005
Bellman-Ford,Árbol Binario,Entera,800,799,2.70041,0.0953032,2.62009,2.63559,2.65753,2.7548,2.96375
Bellman-Ford,Árbol Binario,Entera,900,899,3.72989,0.142078,3.57874,3.61928,3.68392,3.80083,4.17044
Bellman-Ford,Árbol Binario,Entera,1000,999,5.06612,0.263919,4.77841,4.87251,4.9771,5.23872,5.79797
