algoritmo,tipo_grafo,distribucion,n,m,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
Floyd-Warshall,Árbol Binario,Entera,100,99,0.0814177,0.0107936,0.076444,0.077276,0.0780175,0.0803042,0.135365
Floyd-Warshall,Árbol Binario,Entera,200,199,0.428208,0.00954273,0.421175,0.422642,0.425878,0.428338,0.464396
Floyd-Warshall,Árbol Binario,Entera,300,299,1.01994,0.0103671,1.0111,1.01491,1.01656,1.02051,1.0578
Floyd-Warshall,Árbol Binario,Entera,400,399,1.87854,0.0177082,1.85882,1.86745,1.87448,1.88624,1.94998
Floyd-Warshall,Árbol Binario,Entera,500,499,2.99248,0.0384209,2.92865,2.97178,2.98257,2.99838,3.11176
Floyd-Warshall,Árbol Binario,Entera,600,599,4.39294,0.0687739,4.272,4.35404,4.39096,4.4333,4.53415
Floyd-Warshall,Árbol Binario,Entera,700,699,6.07319,0.14315,5.91879,5.94249,6.02352,6.20514,6.38261
Floyd-Warshall,Árbol Binario,Entera,800,799,8.11514,0.185023,7.90683,7.9595,8.07393,8.20174,8.55791
Floyd-Warshall,Árbol Binario,Entera,900,899,10.5381,0.261464,10.2256,10.2968,10.4704,10.7407,11.0642
Floyd-Warshall,Árbol Binario,Entera,1000,999,13.6103,0.283447,13.2133,13.3728,13.5038,13.8632,14.1731
