algoritmo,tipo_grafo,distribucion,n,m,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
Floyd-Warshall,Bipartito Completo,Decimal,100,5000,0.72164,0.0277164,0.696777,0.704414,0.718096,0.726109,0.820821
Floyd-Warshall,Bipartito Completo,Decimal,200,20000,5.24033,0.0751741,5.13736,5.17365,5.23179,5.29337,5.39343
Floyd-Warshall,Bipartito Completo,Decimal,300,45000,17.0606,0.230802,16.647,16.9121,17.0369,17.2523,17.651
Floyd-Warshall,Bipartito Completo,Decimal,400,80000,39.6213,0.338401,39.1335,39.3397,39.64,39.8819,40.2882
Floyd-Warshall,Bipartito Completo,Decimal,500,125000,75.2053,0.415268,74.3337,75.0214,75.1701,75.5175,76.001
Floyd-Warshall,Bipartito Completo,Decimal,600,180000,127.686,0.448419,127.043,127.264,127.749,128.033,128.832
Floyd-Warshall,Bipartito Completo,Decimal,700,245000,199.624,0.430594,198.81,199.329,199.461,199.971,200.524
Floyd-Warshall,Bipartito Completo,Decimal,800,320000,296.447,1.29836,294.676,295.51,296.432,296.98,300.364
Floyd-Warshall,Bipartito Completo,Decimal,900,405000,419.554,3.6528,416.386,417.155,417.894,419.586,428.808
Floyd-Warshall,Bipartito Completo,Decimal,1000,500000,569.584,3.22563,566.032,567.716,568.38,570.185,577.959
