algoritmo,tipo_grafo,distribucion,n,m,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
Bellman-Ford,Componentes FC Ciclo Negativo,Entera,100,380,2.16561,0.0583029,2.11889,2.14338,2.1504,2.16112,2.43163
Bellman-Ford,Componentes FC Ciclo Negativo,Entera,200,1080,25.5283,0.334557,25.1465,25.227,25.5518,25.672,26.4369
Bellman-Ford,Componentes FC Ciclo Negativo,Entera,300,2129,47.7676,1.36024,46.976,47.1599,47.4924,47.8491,54.8729
Bellman-Ford,Componentes FC Ciclo Negativo,Entera,400,3529,31.9017,0.390501,31.2446,31.6009,31.886,32.1052,32.9382
Bellman-Ford,Componentes FC Ciclo Negativo,Entera,500,5270,698.022,1.36147,696.21,697.042,697.787,699.158,700.736
Bellman-Ford,Componentes FC Ciclo Negativo,Entera,600,7268,815.416,1.3655,812.59,814.452,815.478,816.437,818.21
Bellman-Ford,Componentes FC Ciclo Negativo,Entera,700,9674,163.583,0.82459,161.723,163.106,163.631,164.215,164.946
Bellman-Ford,Componentes FC Ciclo Negativo,Entera,800,12353,4233.5,34.0051,4210.68,4215.81,4223.53,4231.63,4341.4
Bellman-Ford,Componentes FC Ciclo Negativo,Entera,900,15534,5898.74,13.178,5868.14,5888.51,5898.84,5910.51,5918.55
Bellman-Ford,Componentes FC Ciclo Negativo,Entera,1000,18946,7263.63,45.1534,7228.68,7237.78,7248.23,7272.38,7449.91
