algoritmo,tipo_grafo,distribucion,n,m,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
Floyd-Warshall,Componentes FC Ciclo Negativo,Entera,100,380,0.401793,0.0115738,0.38722,0.397637,0.401352,0.40421,0.451101
Floyd-Warshall,Componentes FC Ciclo Negativo,Entera,200,1110,3.36597,0.0118153,3.35212,3.35902,3.36353,3.36939,3.41877
Floyd-Warshall,Componentes FC Ciclo Negativo,Entera,300,2171,10.8053,0.151173,10.5673,10.6729,10.8015,10.9041,11.1228
Floyd-Warshall,Componentes FC Ciclo Negativo,Entera,400,3569,24.9732,0.315892,24.3079,24.8726,24.9499,25.1819,25.5809
Floyd-Warshall,Componentes FC Ciclo Negativo,Entera,500,5236,47.9167,0.56302,46.8583,47.494,47.9865,48.3473,48.9832
Floyd-Warshall,Componentes FC Ciclo Negativo,Entera,600,7229,84.4233,0.425941,82.8961,84.1492,84.4595,84.7762,84.9898
Floyd-Warshall,Componentes FC Ciclo Negativo,Entera,700,9648,132.287,1.1175,129.375,131.663,132.701,132.935,133.627
Floyd-Warshall,Componentes FC Ciclo Negativo,Entera,800,12457,197.375,0.496223,195.981,197.074,197.355,197.649,198.426
Floyd-Warshall,Componentes FC Ciclo Negativo,Entera,900,15557,281.982,0.592671,280.869,281.541,281.983,282.287,283.645
Floyd-Warshall,Componentes FC Ciclo Negativo,Entera,1000,18912,383.399,1.09458,381.077,382.803,383.384,383.976,386.478
